RANK,NAME,id joueur,date of birth,country,continent,place of birth,LAT PLAYER,LONG PLAYER,image,TEAM,logo image,headquarters location,LAT TEAM,LONG TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
485,Taj Gibson,Taj Gibson,1985-06-24T00:00:00Z,United States of America,North America,Brooklyn,40.692777777778,-73.990277777778,Taj Gibson (52381768565) (cropped).jpg,Washington Wizards,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/1200px-Washington_Wizards_logo.svg.png,"Washington, D.C.",38.895,-77.036666666667,forward,37.8,48,10,15.3,17.2,42,0.714,101,0.564,24,0.333,0.552,0.585,3.5,1.9,0.7,0.3,0.3,0.5,5.4,4.2,6.1,6.7,114.7,100.3
486,Miles McBride,Miles McBride,2000-09-08T00:00:00Z,United States of America,North America,Cincinnati,39.1,-84.5125,,New York Knicks,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/New_York_Knicks_logo.svg/1200px-New_York_Knicks_logo.svg.png,New York City,40.7,-74,guard,22.6,64,11.9,14.6,10.4,42,0.667,81,0.457,134,0.299,0.451,0.475,3.5,0.8,1.1,0.6,0.1,0.4,4.3,4.6,5.4,4.9,105.8,110.5
487,P. J. Tucker,P. J. Tucker,1985-05-05T00:00:00Z,United States of America,North America,Raleigh,35.78,-78.64,Pjtucker.jpg,Philadelphia 76ers,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/1200px-Philadelphia_76ers_logo.svg.png,Philadelphia,39.952777777778,-75.163611111111,forward,37.9,75,25.6,6.5,16.3,23,0.826,85,0.482,140,0.393,0.549,0.566,3.5,3.9,0.8,0.5,0.2,0.6,7.5,4.3,8.3,3.5,118.7,108.1
488,Dewayne Dedmon,Dewayne Dedmon,1989-08-12T00:00:00Z,United States of America,North America,Lancaster,34.686944444444,-118.15416666667,Dewayne Dedmon free throw.jpg,Philadelphia 76ers,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/1200px-Philadelphia_76ers_logo.svg.png,Philadelphia,39.952777777778,-75.163611111111,center,33.7,8,9.6,17.7,21.4,5,0.2,20,0.6,2,0.5,0.614,0.579,3.5,3.1,1.3,0.3,0.6,0.8,6.6,4.8,7.9,10.1,111.3,93.7
489,Amir Coffey,Amir Coffey,1997-06-17T00:00:00Z,United States of America,North America,Hopkins,44.925,-93.462777777778,Amir Coffey.jpg,Los Angeles Clippers,https://a.espncdn.com/i/teamlogos/nba/500-dark/lac.png,Los Angeles,34.05223,-118.24368,guard,25.8,50,12.5,13.5,12.6,63,0.778,105,0.429,40,0.275,0.424,0.498,3.4,1.1,1.1,0.1,0.1,0.4,4.5,4.5,5.6,5.1,108.4,112.6
490,Bruno Fernando,Bruno Fernando,1998-08-15T00:00:00Z,Angola,Africa,Luanda,-8.838333333333333,13.234444444444444,Bruno Fernando crop.jpg,Atlanta Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/1200px-Atlanta_Hawks_logo.svg.png,Atlanta,33.756944444444,-84.390277777778,forward,24.7,8,5.2,27.1,20.5,6,0.833,16,0.688,3,0,0.579,0.624,3.4,1.9,0.1,0,0.4,0.6,5.3,3.5,5.4,6.6,110.5,103.8
491,Kai Jones,Kai Jones,2001-01-18T00:00:00Z,The Bahamas,North America,Nassau,25.078055555555554,-77.3386111111111,Kai Jones defends RJ Nembhard (cropped).jpg,Charlotte Hornets,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Charlotte_Hornets_%282014%29.svg/800px-Charlotte_Hornets_%282014%29.svg.png,Charlotte,35.226944444444,-80.843333333333,center,22.2,46,11.9,12.4,20.5,26,0.731,101,0.624,19,0.211,0.575,0.597,3.4,2.7,0.3,0.4,0.7,0.7,6.1,3.7,6.4,4.7,106.9,105.9
492,Wesley Matthews,Wesley Matthews,1986-10-14T00:00:00Z,United States of America,North America,San Antonio,29.425,-98.49388888888889,Wesley Matthews 2017.jpg,Milwaukee Bucks,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Milwaukee_Bucks_logo.svg/1200px-Milwaukee_Bucks_logo.svg.png,Milwaukee,43.05,-87.95,guard,36.5,52,15.7,9.8,10.1,28,0.857,36,0.528,124,0.315,0.484,0.519,3.4,2.2,0.7,0.4,0.3,0.3,5.6,4.1,6.3,4.4,113.1,107.2
493,Micah Potter,Micah Potter,1998-04-06T00:00:00Z,United States of America,North America,Mentor,41.691111111111,-81.341944444444,Micah Potter.jpg,Utah Jazz,https://logodownload.org/wp-content/uploads/2021/07/utah-jazz-logo-0.png,Salt Lake City,40.75,-111.88333333333,forward,25,7,7.5,13.6,11.8,0,0,8,0.75,7,0.571,0.8,0.8,3.4,2.3,0.6,0.1,0,0.3,5.7,4,6.3,8.9,145.3,107.3
494,Matt Ryan,Matt Ryan,1997-04-17T00:00:00Z,United States of America,North America,White Plains,41.04,-73.778611111111,Matt Ryan (basketball) (cropped).jpg,Minnesota Timberwolves,https://upload.wikimedia.org/wikipedia/fr/d/d9/Timberwolves_du_Minnesota_logo_2017.png,Minneapolis,44.981944444444444,-93.26916666666666,forward,26,22,8.2,15.6,6.3,7,0.857,10,0.6,49,0.388,0.585,0.604,3.4,0.5,0.5,0.1,0,0.2,4,4,4.5,4.6,120.4,113.9
495,Jericho Sims,Jericho Sims,1998-10-20T00:00:00Z,United States of America,North America,Minneapolis,44.981944444444444,-93.26916666666666,Jericho Sims.jpg,New York Knicks,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/New_York_Knicks_logo.svg/1200px-New_York_Knicks_logo.svg.png,New York City,40.7,-74,center,24.5,52,15.6,7.4,20.1,16,0.75,106,0.783,1,0,0.776,0.78,3.4,4.7,0.5,0.3,0.5,0.5,8.1,3.9,8.6,5.1,146.4,104.3
496,Juan Toscano,Juan Toscano-Anderson,1993-04-10T00:00:00Z,United States of America,North America,Oakland,37.8,-122.25,Juan Toscano-Anderson (cropped).jpg,Utah Jazz,https://logodownload.org/wp-content/uploads/2021/07/utah-jazz-logo-0.png,Salt Lake City,40.75,-111.88333333333,forward,30,22,15.2,12.2,18,9,0.889,54,0.5,23,0.174,0.429,0.457,3.4,2.9,1.8,0.3,0.1,0.8,6.2,5.2,8,6.9,102.1,109.6
497,Goga Bitadze,Goga Bitadze,1999-07-20T00:00:00Z,Georgia,Europe,Tbilisi,41.7225,44.7925,Goga Bitadze (cropped).jpg,Indiana Pacers,https://upload.wikimedia.org/wikipedia/fr/4/48/Pacers_de_l%27Indiana_2017.png,Indianapolis,39.768611111111,-86.158055555556,center,23.7,21,9.6,15.5,18.7,24,0.458,38,0.605,14,0.286,0.558,0.551,3.3,2.3,0.9,0.4,0.5,0.6,5.6,4.1,6.5,7.9,115.4,103.9
498,Anthony Gill,Anthony Gill,1992-10-17T00:00:00Z,United States of America,North America,Charlotte,35.226944444444,-80.843333333333,Anthony Gill (basketball) 13 BC Khimki EuroLeague 20180321 (3).jpg,Washington Wizards,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/1200px-Washington_Wizards_logo.svg.png,"Washington, D.C.",38.895,-77.036666666667,forward,30.5,59,10.6,12.3,10.2,67,0.731,103,0.65,29,0.138,0.553,0.604,3.3,1.7,0.6,0.1,0.2,0.3,5,3.9,5.6,5.7,128.1,109.2
499,Boban Marjanović,Boban Marjanović,1988-08-15T00:00:00Z,Serbia,Europe,Boljevac,43.824722222222,21.951944444444,Boban Marjanovic 51 (cropped).jpg,Houston Rockets,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/1200px-Houston_Rockets.svg.png,Houston,29.762777777778,-95.383055555556,center,34.7,31,5.5,20.8,18.8,27,0.741,59,0.695,1,0,0.683,0.71,3.3,1.9,0.3,0.2,0.1,0.5,5.2,3.6,5.5,9,126.8,113.8
500,Raul Togni Neto,Raul Neto,1992-05-19T00:00:00Z,Brazil,South America,Belo Horizonte,-19.928055555555556,-43.941944444444445,Raulzinho Neto (2016 Summer Olympics) 2.jpg,Cleveland Cavaliers,https://upload.wikimedia.org/wikipedia/fr/0/06/Cavs_de_Cleveland_logo_2017.png,Cleveland,41.482222222222,-81.669722222222,guard,30.9,48,10.5,13.1,17.2,34,0.912,68,0.662,42,0.286,0.573,0.628,3.3,1,1.6,0.4,0.1,0.5,4.2,4.9,5.9,6.6,127.4,105.1
501,Dru Smith,Dru Smith,1997-12-30T00:00:00Z,United States of America,North America,Evansville,37.974722222222,-87.555833333333,Dru Smith.jpg,Brooklyn Nets,https://logodownload.org/wp-content/uploads/2021/04/brooklyn-nets-logo-2.png,Brooklyn,40.692777777778,-73.990277777778,guard,25.3,10,9.2,16.6,6,3,1,18,0.5,13,0.308,0.484,0.511,3.3,1.5,1.7,0.6,0.1,0.2,4.8,5,6.5,8.8,118.2,100.3
502,Peyton Watson,Peyton Watson,2002-09-11T00:00:00Z,United States of America,North America,Beverly Hills,34.073055555556,-118.39944444444,Peyton Watson.jpg,Denver Nuggets,https://upload.wikimedia.org/wikipedia/fr/3/35/Nuggets_de_Denver_2018.png,Denver,39.739166666667,-104.98472222222,guard,20.6,23,8.1,17.7,11.9,20,0.55,45,0.511,14,0.429,0.542,0.553,3.3,1.6,0.5,0.1,0.5,0.3,4.9,3.7,5.3,6.8,109.5,110.3
503,Jared Rhoden,Jared Rhoden,1999-08-27T00:00:00Z,United States of America,North America,Baldwin,40.6702,-73.6125,Jared Rhoden vs Michigan (cropped).jpg,Detroit Pistons,https://upload.wikimedia.org/wikipedia/commons/3/39/Logo_of_the_Detroit_Pistons.png,Detroit,42.331666666667,-83.0475,guard,23.6,14,14.1,10.7,6.3,6,1,24,0.5,20,0.25,0.443,0.482,3.2,2.6,0.3,0.3,0.1,0.2,5.9,3.5,6.1,3.8,108.8,110.3
504,Max Christie,Max Christie,2003-02-10T00:00:00Z,United States of America,North America,Arlington Heights,42.095,-87.980833333333,Max Christie.jpg,Los Angeles Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1200px-Los_Angeles_Lakers_logo.svg.png,Los Angeles,34.05223,-118.24368,guard,20.2,41,12.5,10.3,10.1,16,0.875,44,0.409,62,0.419,0.538,0.566,3.1,1.8,0.5,0.2,0.2,0.3,5,3.6,5.5,4.5,111.7,110.6
505,Jordan Hall,Jordan Hall,2002-01-14T00:00:00Z,United States of America,North America,Wildwood,38.988888888889,-74.82,Jordan Hall 2021.jpg,San Antonio Spurs,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,San Antonio,29.425,-98.49388888888889,guard,21.2,9,9.1,19.6,19.8,9,0.778,13,0.462,15,0.2,0.375,0.438,3.1,1.3,1.2,0.1,0,0.8,4.4,4.3,5.7,7.4,91.1,117.7
506,Richaun Holmes,Richaun Holmes,1993-10-19T00:00:00Z,United States of America,North America,Lockport,41.5903641,-88.0291862,Richaun Holmes in 2015.jpg,Sacramento Kings,https://upload.wikimedia.org/wikipedia/fr/thumb/9/95/Kings_de_Sacramento_logo.svg/1200px-Kings_de_Sacramento_logo.svg.png,Sacramento,38.575277777778,-121.48611111111,forward,29.5,42,8.3,13.7,13.5,19,0.789,81,0.617,8,0.625,0.646,0.668,3.1,1.9,0.2,0.1,0.3,0.3,5,3.3,5.2,5.1,128,105
507,Christian Koloko,Christian Koloko,2000-06-20T00:00:00Z,Cameroon,Africa,Douala,04.05,9.7,Christian Koloko.jpg,Toronto Raptors,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Toronto_Raptors_logo.svg/1200px-Toronto_Raptors_logo.svg.png,Toronto,43.670277777778,-79.386666666667,center,22.8,58,13.8,10.4,11.7,59,0.627,138,0.514,12,0.083,0.483,0.517,3.1,2.9,0.5,0.4,1,0.3,6.1,3.7,6.6,4.8,119.3,101.5
508,Josh Minott,Josh Minott,2002-11-25T00:00:00Z,United States of America,North America,Boca Raton,26.368611111111,-80.1,,Minnesota Timberwolves,https://upload.wikimedia.org/wikipedia/fr/d/d9/Timberwolves_du_Minnesota_logo_2017.png,Minneapolis,44.981944444444444,-93.26916666666666,forward,20.4,15,6.4,18.9,7.6,8,1,30,0.533,6,0.333,0.528,0.582,3.1,1.7,0.3,0.3,0.4,0.2,4.7,3.4,5.1,7.3,119,104.2
509,Tyler Dorsey,Tyler Dorsey,1996-02-14T00:00:00Z,United States of America,North America,Pasadena,34.156111111111,-118.13194444444,2022-03-10 ALBA Berlin gegen Olympiacos Piraeus (EuroLeague 2021-22) by Sandro Halank–036.jpg,Dallas Mavericks,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/1200px-Dallas_Mavericks_logo.svg.png,Dallas,32.779166666667,-96.808888888889,guard,27.2,3,2.8,27.2,0,0,0,3,1,2,0.5,0.9,0.9,3,0.7,0,0,0,0,3.7,3,3.7,0,,
510,Usman Garuba,Usman Garuba,2002-03-09T00:00:00Z,Spain,Europe,Madrid,40.41694444444445,-3.703333333333333,Usman Garuba (cropped).jpg,Houston Rockets,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/1200px-Houston_Rockets.svg.png,Houston,29.762777777778,-95.383055555556,forward,21.1,75,12.9,10.5,21,47,0.617,118,0.525,59,0.407,0.554,0.569,3,4.1,0.9,0.6,0.4,0.6,7.1,3.9,7.9,6.9,118.3,105
511,Danny Green,Danny Green,1987-06-22T00:00:00Z,United States of America,North America,Long Island,40.805805,-73.253616,1 danny green toronto raptors 2019 (cropped).jpg,Memphis Grizzlies,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,Memphis,35.1175,-89.971111111111,guard,35.8,3,14.5,13.4,21.4,0,0,3,0,8,0.375,0.409,0.409,3,1.3,0.7,0.3,0,1,4.3,3.7,5,3.9,76.5,103.4
512,Jake LaRavia,Jake Laravia,2001-11-03T00:00:00Z,United States of America,North America,Pasadena,34.156111111111,-118.13194444444,Jake LaRavia (cropped).jpg,Memphis Grizzlies,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,Memphis,35.1175,-89.971111111111,forward,21.4,35,11.8,11.7,15.9,9,0.778,24,0.542,71,0.338,0.516,0.531,3,1.8,0.6,0.3,0.1,0.5,4.8,3.6,5.4,5,105.3,104
513,Saben Lee,Saben Lee,1999-06-23T00:00:00Z,United States of America,North America,Phoenix,33.44833333333333,-112.07388888888889,Saben Lee (cropped).jpg,Philadelphia 76ers,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/1200px-Philadelphia_76ers_logo.svg.png,Philadelphia,39.952777777778,-75.163611111111,guard,23.8,2,5.1,31,42.9,0,0,3,1,1,0,0.75,0.75,3,0,1,0.5,0,1.5,3,4,4,0,86.3,105.5
514,Robin Lopez,Robin Lopez,1988-04-01T00:00:00Z,United States of America,North America,North Hollywood,34.17222,-118.37806,Robin Lopez (52590574041) (cropped).jpg,Cleveland Cavaliers,https://upload.wikimedia.org/wikipedia/fr/0/06/Cavs_de_Cleveland_logo_2017.png,Cleveland,41.482222222222,-81.669722222222,center,35,37,8.1,16.2,24.9,18,0.778,71,0.648,4,0.5,0.653,0.675,3,1.4,0.5,0.1,0.2,0.7,4.4,3.5,4.9,6.3,114.9,100.7
515,Trevelin Queen,Trevelin Queen,1997-02-25T00:00:00Z,United States of America,North America,Glen Burnie,39.16,-76.6106,,Indiana Pacers,https://upload.wikimedia.org/wikipedia/fr/4/48/Pacers_de_l%27Indiana_2017.png,Indianapolis,39.768611111111,-86.158055555556,guard,26.1,7,10,22.9,19.2,5,1,14,0.357,15,0.133,0.276,0.337,3,2.4,0.9,0.3,0.7,1,5.4,3.9,6.3,7.5,78.9,116.5
516,Jacob Gilyard,Jacob Gilyard,1998-07-14T00:00:00Z,United States of America,North America,Kansas City,39.05,-94.583333333333,Gilyard warmup.jpg,Memphis Grizzlies,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,Memphis,35.1175,-89.971111111111,guard,24.7,1,40.8,5.1,40,0,0,0,0,3,0.333,0.5,0.5,3,4,7,3,0,2,7,10,14,4.3,107.4,106.5
517,Juan Hernangómez,Juan Hernangómez,1995-09-28T00:00:00Z,Spain,Europe,Madrid,40.41694444444445,-3.703333333333333,Juan Hernangomez.jpg,Toronto Raptors,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Toronto_Raptors_logo.svg/1200px-Toronto_Raptors_logo.svg.png,Toronto,43.670277777778,-79.386666666667,forward,27.5,42,14.6,9.5,11.6,16,0.563,47,0.66,67,0.254,0.496,0.504,2.9,2.9,0.6,0.4,0.1,0.4,5.8,3.5,6.4,4.7,108.3,110.4
518,Carlik Jones,Carlik Jones,1997-12-23T00:00:00Z,United States of America,North America,Cincinnati,39.1,-84.5125,Carlik Jones.jpg,Chicago Bulls,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/1200px-Chicago_Bulls_logo.svg.png,Chicago,41.85003,-87.65005,guard,25.3,7,8,16.2,11.6,8,0.625,9,0.333,6,0.5,0.5,0.54,2.9,0.7,0.9,0.3,0,0.3,3.6,3.7,4.4,6.1,112.6,113.8
519,Frank Ntilikina,Frank Ntilikina,1998-07-28T00:00:00Z,Belgium,Europe,Ixelles - Elsene,50.83305555555555,4.366944444444444,Frank Ntilikina.jpg,Dallas Mavericks,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/1200px-Dallas_Mavericks_logo.svg.png,Dallas,32.779166666667,-96.808888888889,guard,24.7,47,12.9,13.1,18,33,0.667,65,0.477,67,0.254,0.428,0.461,2.9,1.3,1.2,0.3,0.1,0.6,4.2,4.1,5.4,5.1,94.7,109.3
520,Jason Preston,Jason Preston,1999-08-10T00:00:00Z,United States of America,North America,Orlando,28.533611111111,-81.386666666667,Jason Preston.jpg,Los Angeles Clippers,https://a.espncdn.com/i/teamlogos/nba/500-dark/lac.png,Los Angeles,34.05223,-118.24368,guard,23.7,14,8.8,18.3,19.6,2,0,23,0.565,18,0.278,0.5,0.489,2.9,1.6,1.9,0.1,0,0.7,4.5,4.9,6.4,9.4,102.4,111.9
521,James Johnson,James Johnson,1987-02-20T00:00:00Z,United States of America,North America,Cheyenne,41.145555555556,-104.80194444444,James Johnson (51875108419) (cropped).jpg,Indiana Pacers,https://upload.wikimedia.org/wikipedia/fr/4/48/Pacers_de_l%27Indiana_2017.png,Indianapolis,39.768611111111,-86.158055555556,forward,36.1,18,9,15.6,14,8,0.5,34,0.559,15,0.2,0.48,0.486,2.8,1.7,0.8,0.4,0.3,0.4,4.5,3.7,5.3,6.9,98.2,99.5
522,Moussa Diabaté,Moussa Diabaté,2002-01-21T00:00:00Z,France,Europe,Paris,48.85666666666667,2.352222222222222,Moussa Diabate.jpg,Los Angeles Clippers,https://a.espncdn.com/i/teamlogos/nba/500-dark/lac.png,Los Angeles,34.05223,-118.24368,forward,21.2,22,8.9,14.1,16,16,0.625,45,0.511,2,0.5,0.521,0.546,2.7,2.3,0.2,0.3,0.4,0.4,5,2.9,5.1,4.8,119.2,110.2
523,Frank Kaminsky,Frank Kaminsky,1993-04-04T00:00:00Z,United States of America,North America,Lisle,41.7925,-88.0883,Frank Kaminsky 2014 (cropped).jpg,Atlanta Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/1200px-Atlanta_Hawks_logo.svg.png,Atlanta,33.756944444444,-84.390277777778,forward,30,26,6.8,13.9,16.9,12,0.833,21,0.667,23,0.478,0.693,0.72,2.7,1.4,0.8,0.2,0,0.3,4.1,3.5,4.9,8.5,132.5,105.8
524,Terry Taylor,Terry Taylor,1999-09-23T00:00:00Z,United States of America,North America,Bowling Green,36.981666666667,-86.444444444444,TerryTaylorAPSU.jpg,Indiana Pacers,https://upload.wikimedia.org/wikipedia/fr/4/48/Pacers_de_l%27Indiana_2017.png,Indianapolis,39.768611111111,-86.158055555556,guard,23.5,26,8.8,14.2,12.1,7,0.714,47,0.553,18,0.222,0.492,0.507,2.7,1.5,0.4,0.1,0.2,0.3,4.2,3,4.5,5.3,108.8,113.9
525,Matisse Thybulle,Matisse Thybulle,1997-03-04T00:00:00Z,United States of America,North America,Scottsdale,33.493055555556,-111.92611111111,Matisse Thybulle Sixers (cropped).jpg,Philadelphia 76ers,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/1200px-Philadelphia_76ers_logo.svg.png,Philadelphia,39.952777777778,-75.163611111111,guard,26.1,49,12.1,9.8,6.4,12,0.75,53,0.547,63,0.333,0.522,0.536,2.7,1.3,0.5,0.9,0.3,0.2,3.9,3.1,4.4,4,116.2,103.6
526,Juan Toscano,Juan Toscano-Anderson,1993-04-10T00:00:00Z,United States of America,North America,Oakland,37.8,-122.25,Juan Toscano-Anderson (cropped).jpg,Los Angeles Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1200px-Los_Angeles_Lakers_logo.svg.png,Los Angeles,34.05223,-118.24368,forward,30,30,12.2,10.4,20.4,15,0.733,46,0.63,20,0.2,0.53,0.558,2.7,2,0.8,0.3,0.2,0.6,4.7,3.5,5.6,5.3,107.3,103.8
527,Ryan Arcidiacono,Ryan Arcidiacono,1994-03-26T00:00:00Z,United States of America,North America,Philadelphia,39.952777777778,-75.163611111111,Ryan Arcidiacono.jpg,Portland Trail Blazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png,Portland,45.516666666667,-122.66666666667,guard,29,9,16.2,11.3,15.8,0,0,12,0.083,20,0.35,0.359,0.359,2.6,1.2,2.3,0.3,0,0.7,3.8,4.9,6.1,4.8,88.4,114
528,Mamadi Diakité,Mamadi Diakite,1997-01-21T00:00:00Z,Guinea,Africa,Conakry,9.5091666666667,-13.712222222222,Mamadi Diakite (cropped).jpg,Cleveland Cavaliers,https://upload.wikimedia.org/wikipedia/fr/0/06/Cavs_de_Cleveland_logo_2017.png,Cleveland,41.482222222222,-81.669722222222,forward,26.2,22,8,16,19.2,2,1,29,0.586,21,0.333,0.55,0.56,2.6,1.4,0.4,0.2,0.4,0.5,4,3,4.3,5.7,99.6,98.3
529,Isaiah Mobley,Isaiah Mobley,1999-09-24T00:00:00Z,United States of America,North America,San Diego,32.715,-117.1625,Isaiah Mobley.png,Cleveland Cavaliers,https://upload.wikimedia.org/wikipedia/fr/0/06/Cavs_de_Cleveland_logo_2017.png,Cleveland,41.482222222222,-81.669722222222,forward,23.5,12,7,16.3,3.4,4,1,20,0.45,8,0.375,0.482,0.521,2.6,1.7,0.3,0.3,0.3,0.1,4.3,2.8,4.5,6.3,114.9,100.9
530,Jaden Springer,Jaden Springer,2002-01-01T00:00:00Z,United States of America,North America,Charlotte,35.226944444444,-80.843333333333,Jaden Springer (cropped) 2.jpg,Philadelphia 76ers,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/1200px-Philadelphia_76ers_logo.svg.png,Philadelphia,39.952777777778,-75.163611111111,guard,20.5,16,5.6,20.8,7.8,8,0.75,30,0.5,5,0.4,0.514,0.545,2.6,0.9,0.5,0.4,0.2,0.2,3.5,3.1,4,7.5,117.1,96.6
531,Damian Jones,Damian Jones,1995-06-30T00:00:00Z,United States of America,North America,Baton Rouge,30.4475,-91.178611111111,Damian Jones Cavs '23.jpg,Los Angeles Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1200px-Los_Angeles_Lakers_logo.svg.png,Los Angeles,34.05223,-118.24368,center,27.8,22,8,13.1,19.4,20,0.75,34,0.588,3,0,0.541,0.6,2.5,2.5,0.2,0.1,0.5,0.4,5,2.7,5.2,5.4,118.4,105.1
532,Ishmael Smith,Ish Smith,1988-07-05T00:00:00Z,United States of America,North America,Charlotte,35.226944444444,-80.843333333333,Ish Smith 2020 (cropped).jpg,Denver Nuggets,https://upload.wikimedia.org/wikipedia/fr/3/35/Nuggets_de_Denver_2018.png,Denver,39.739166666667,-104.98472222222,guard,34.8,43,9.3,19.3,25.1,4,0.5,119,0.42,12,0.167,0.405,0.407,2.5,1.3,2.3,0.2,0.2,1,3.8,4.8,6.1,8.4,88.7,109.9
533,Lester Quiñones,Lester Quiñones,2000-11-16T00:00:00Z,United States of America,North America,Brentwood,40.7817,-73.2442,,Golden State Warriors,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/1200px-Golden_State_Warriors_logo.svg.png,San Francisco,37.7775,-122.41638888888889,guard,20,4,4.5,29.3,48.6,6,0.667,1,0,4,0.5,0.6,0.654,2.5,0.8,0.5,0.3,0,1.3,3.3,3,3.8,8.9,86.9,118.5
534,Justin Champagnie,Justin Champagnie,2001-06-29T00:00:00Z,United States of America,North America,Staten Island,40.576280555556,-74.144838888889,Justin Champagnie.jpg,Boston Celtics,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/1200px-Boston_Celtics.svg.png,Boston,42.360277777777775,-71.05777777777777,guard,21.8,2,11.7,22.4,0,0,0,7,0.143,5,0.2,0.208,0.208,2.5,2,1.5,0.5,0,0,4.5,4,6,6.7,73,110.8
535,"John W. Butler, Jr.","John W. Butler, Jr.",2002-12-04T00:00:00Z,United States of America,North America,Mauldin,34.780833333333,-82.300555555556,,Portland Trail Blazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png,Portland,45.516666666667,-122.66666666667,forward,20.3,19,11.6,11,1.8,4,0.75,18,0.5,35,0.229,0.396,0.411,2.4,0.9,0.6,0.4,0.5,0.1,3.3,2.9,3.8,3.8,97.3,113.2
536,Jeff Dowtin,Jeff Dowtin,1997-05-10T00:00:00Z,United States of America,North America,Upper Marlboro,38.816388888889,-76.753333333333,Jeff Dowtin.jpg,Toronto Raptors,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Toronto_Raptors_logo.svg/1200px-Toronto_Raptors_logo.svg.png,Toronto,43.670277777778,-79.386666666667,guard,25.9,25,10.3,10.9,8,9,0.667,41,0.488,16,0.313,0.482,0.5,2.4,0.9,1.2,0.4,0.1,0.2,3.4,3.7,4.6,5.3,117.6,114.5
537,Sandro Mamukelashvili,Sandro Mamukelashvili,1999-05-23T00:00:00Z,United States of America,North America,New York City,40.7,-74,Sandro Mamukelashvili.jpg,Milwaukee Bucks,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Milwaukee_Bucks_logo.svg/1200px-Milwaukee_Bucks_logo.svg.png,Milwaukee,43.05,-87.95,forward,23.9,24,9.1,14.5,13.4,18,0.667,26,0.462,32,0.219,0.388,0.432,2.4,2.3,0.7,0.2,0.2,0.4,4.7,3,5.4,6.9,102.2,105.5
538,Theo Pinson,Theo Pinson,1995-11-05T00:00:00Z,United States of America,North America,Greensboro,36.08,-79.819444444444,Theo Pinson (49166301537) (cropped).jpg,Dallas Mavericks,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/1200px-Dallas_Mavericks_logo.svg.png,Dallas,32.779166666667,-96.808888888889,guard,27.4,39,8.3,14.7,12.1,13,0.846,25,0.36,62,0.355,0.483,0.512,2.4,1.6,1.2,0.2,0,0.3,4.1,3.6,5.3,8,115,107.8
